handle,rating,maxRating,rank,maxRank
Soumya1,2443,2548,grandmaster,grandmaster
nfssdq,2435,2461,grandmaster,grandmaster
SA01,2370,2403,international master,grandmaster
Alfeh,2354,2354,international master,international master
upobir,2303,2643,international master,international grandmaster
Iftekhar_Hakim_K,2285,2304,master,international master
Z0RR0,2266,2266,master,master
DrSwad,2251,2251,master,master
serotonin,2249,2398,master,international master
fahimcp495,2244,2244,master,master
imAnik,2234,2234,master,master
Alpha_Q,2212,2462,master,grandmaster
Jhamra,2210,2210,master,master
Farhan132,2194,2254,master,master
Roll_Num_56,2183,2242,master,master
kzvd4729,2164,2295,master,master
Jarif_Rahman,2161,2261,master,master
Anachor,2142,2609,master,international grandmaster
ovis96,2137,2137,master,master
RakibJoy,2136,2136,master,master
Shakil17,2130,2130,master,master
YouKn0wWho,2129,2412,master,grandmaster
notSayeef,2115,2115,master,master
adnan_toky,2111,2259,master,master
AbdullahAlShaad,2109,2112,master,master
Ertugrul28,2108,2108,master,master
Alfeh1,2105,2252,master,master
sumon123,2102,2102,master,master
Bruteforcer101,2101,2101,master,master
aymanrasheed7,2101,2101,master,master
steinum,2082,2082,candidate master,candidate master
RezwanArefin01,2056,2104,candidate master,master
_Ash__,2045,2554,candidate master,grandmaster
Nahian9696,2042,2147,candidate master,master
dragoon,2039,2581,candidate master,grandmaster
njrafi,2033,2033,candidate master,candidate master
AshrafSustS19,2032,2081,candidate master,candidate master
TamimEhsan,2032,2078,candidate master,candidate master
MYNAMEISSHARIFUL,2030,2145,candidate master,master
Alfeh2,2021,2202,candidate master,master
ruhan.habib39,2020,2115,candidate master,master
sakib.safwan,2013,2014,candidate master,candidate master
satej,2013,2013,candidate master,candidate master
Hasib_16,2004,2066,candidate master,candidate master
_timelord,2000,2000,candidate master,candidate master
Abdullah500,1990,2028,candidate master,candidate master
AkibAzmain,1975,1975,candidate master,candidate master
frosted,1975,2036,candidate master,candidate master
Bruteforceman,1974,2433,candidate master,grandmaster
iamdiv5,1971,1971,candidate master,candidate master
mahdi.hasnat,1968,2276,candidate master,master
curly_braces,1964,2172,candidate master,master
_skb_,1962,2097,candidate master,candidate master
mh755628,1962,2127,candidate master,master
flying_saucer,1958,1992,candidate master,candidate master
arman_ferdous,1956,2123,candidate master,master
bashem,1953,1953,candidate master,candidate master
AIF_is_carving,1951,2074,candidate master,candidate master
Masum_Billa_19,1947,1947,candidate master,candidate master
nahid08,1944,1961,candidate master,candidate master
rashed_raihan,1943,1962,candidate master,candidate master
TryingToBeEnough,1941,1948,candidate master,candidate master
t17,1941,1941,candidate master,candidate master
thisIsMorningstar,1937,2183,candidate master,master
ash_98,1936,1936,candidate master,candidate master
Abtahi_Majeed,1933,2070,candidate master,candidate master
Tareq_Abrar,1929,1929,candidate master,candidate master
prince_of_crows,1929,1929,candidate master,candidate master
the_dragon_emperor,1929,1929,candidate master,candidate master
monna4335,1928,2010,candidate master,candidate master
Abdul_Aziz,1923,1923,candidate master,candidate master
Shihab2,1923,1923,candidate master,candidate master
A_Nafees,1921,1962,candidate master,candidate master
Ami_Nafi,1920,2034,candidate master,candidate master
I_Love_you_Tithi,1910,1971,candidate master,candidate master
